No,Nama Perusahaan,Detail,Jenis Barang,Wilayah Pemasaran
11,REJEKI BUMI PUTRAPerseroan Terbatas (PT)Email :rejekibumiputra26@gmail.com,Merek Barang :AMCOTHENE 75 SP (Bahan aktif: Asefat 75%)Status :Distributor,Insektisida,Seluruh Wilayah Indonesia
12,GUNA ERA DISTRIBUSIPerseroan Terbatas (PT)Email :dempolaser.legal@gmail.com,Merek Barang :SUGINOStatus :Agen,"Tube Expanders and Standard Accessories; Jet Pump and Standard Accessories And Spare Parts,",INDONESIA TIDAK TERMASUK PULAU BATAM
13,ASSA KITA BERSAMAPerseroan Terbatas (PT)Email :assa.kibe@gmail.com,Merek Barang :RAKHARAStatus :Agen,PRODUCTION CHEMICALS (tidak termasuk products untuk aplikasi Enhanced Oil Recovery),"1. PT. PHE Region II (1. PT. PHE WMO;; 2. PT. Pertamina EP Region 2 Zona 7 Cirebon); 2. PT. PHE Region III (PT. Pertamina Hulu Kalimantan Timur),; 3. PT. PHE Region IV,; 4. Medco Group; 5. British Petroleum (BP Indonesia); 6. EMP Group."
14,GEOTINDO MITRA KENCANAPerseroan Terbatas (PT)Email :sales@geotindo.com,Merek Barang :KC DenmarkStatus :Distributor,"Sampling equipment for oceanographic, environmental and pollution investigations",Indonesia
15,INKO DMENTEC INDONESIAPerseroan Terbatas (PT)Email :dmentecindonesia@gmail.com,Merek Barang :DAEDO ENTECStatus :Distributor Tunggal,"Material Handling System: Water Gate, Rubber Weir, Glasswall",Indonesia
16,GEOTINDO MITRA KENCANAPerseroan Terbatas (PT)Email :sales@geotindo.com,Merek Barang :HYPACKStatus :Distributor,"HYPACK, HYSWEEP and DREDGEPACK software licenses HYPACK",Indonesia
17,POWER PERDANA NUSANTARAPerseroan Terbatas (PT)Email :pperdana@powerperdana.com,Merek Barang :Balcke-DurrStatus :Agen,Service and Maintenance For Steam Surface Condensers,Seluruh Indonesia
18,PROTEKNIK MEGA PERSADAPerseroan Terbatas (PT)Email :pmp@cbn.net.id,Merek Barang :FLENDERStatus :Distributor,"GEAR UNITS, COUPLINGS",seluruh indonesia
19,ADVANCED TECHNOLOGY SOLUTIONPerseroan Terbatas (PT)Email :sales.admin@atsindo.com,Merek Barang :KELTONStatus :Agen Tunggal,FLOW MEASUREMENT SOFTWARE APPLICATIONS,Indonesia
20,INDO MEGA VISIONPerseroan Terbatas (PT)Email :adminfinance@imv.co.id,Merek Barang :GEAR dan RAINERStatus :Distributor,"GEAR : Komputer, Gear Desktop, Gear AIO ( All In One), Gear Book, Gear IFP (Interaktif Flat Panel) Kiosk / Mini PC / NUC / Mini PC Industrial / Touch Screen dan RAINER : Server ( Tower + Rackmount), Storage (Desktop/Rackmount ), Workstation (Tower/Rackmount )",Indonesia
21,INDO MEGA VISIONPerseroan Terbatas (PT)Email :adminfinance@imv.co.id,Merek Barang :GEAR dan RAINERStatus :Distributor,"GEAR : Komputer, Gear Desktop, Gear AIO ( All In One), Gear Book, Gear IFP (Interaktif Flat Panel) Kiosk / Mini PC / NUC / Mini PC Industrial / Touch Screen dan RAINER : Server ( Tower + Rackmount), Storage (Desktop/Rackmount ), Workstation (Tower/Rackmount )",Indonesia
22,SINARMONAS INDUSTRIESPerseroan Terbatas (PT)Email :legal@sinarmonas.com,Merek Barang :Jembo CableStatus :Distributor,KABEL,Di Wilayah Seluruh Indonesia
23,GEO PRIMA ENERGIPerseroan Terbatas (PT)Email :contact@geoprimaenergi.com,"Merek Barang :Gunnebo, Fire Pro, Scorpe, Vallfirest, Notifire, Vesda, Kidde, FichetStatus :Sub Distributor","Fire & Safety Equipment; Fire & Security System, Integration and Maintenance",JABODETABEK
24,GEOTINDO MITRA KENCANAPerseroan Terbatas (PT)Email :sales@geotindo.com,Merek Barang :Geo Marine Survey SystemsStatus :Distributor,"Geo Spark Pulsed Power Supplies From 1,000 J to 48,000 J; Geo Source Multi-tip sparkers; Geo Sense UHR Streamers; Mini Trace II Recording / Processing Systems; Geo Core Piston corer systems and of all consumables; Multi-channel recorder system; Multi-Trace 24-96",Indonesia
25,CEMAKO LESTARI INDONESIAPerseroan Terbatas (PT)Email :pt_cemakoLI@outlook.co.id,Merek Barang :SAVER DAN SEYTONStatus :Distributor,CAT DAN CHEMICAL ( TINNER DAN LAIN-LAIN ) UNTUK PERAWATAN MESIN MESIN INDUSTRI,Di Seluruh Wilayah Indonesia
26,BINTANG MULIA PERKASAPerseroan Terbatas (PT)Email :info@bintangmp.co.id,Merek Barang :HOLLYSYSStatus :Agen,"DCS Distributed Control System, general purpose control system for process industries HOLLIAS MAC, SIS  Safety Instrumented System, for critical control applications such as ESD, FGS, etc. LKS (SIL-2), HiaGuard (SIL-3),  DEH Digital-Electro-Hydraulic System, for turbine control T800K (for turbines above 12MW), T80 (for turbines of 12 MW and bellow), PLC Programmable Logic Controller LE (for small to mid-scale applications) LK (for large-scale applications) SCADA Supervisory Control and Data Acquisition, for graphical display and operation of PLC Holly View. Industrial Software  Various sftware products and solution for  Industrial applications, including communications, asset management, antivirus and batch control HOLLiAS iComm multi-protocol communication software. HOLLiAS Asset Management Software (HAMS). HOLLiAS 800K Antivirus Software. HOLLiAS Batch. Isolation Products Safety barrier, signal Isolator and surge Protection device. AM1000 series (safety barrier), AM2000 series (safety barrier), AMG 1000 series (signal isolator), AML 1000 series (SPD). Field Instruments Pressure transmitter with various parameters for different requirements AT4500 series. Product Category  : Controller, IO module, Baseplate, Terminal Base, Terminal Board, Power Distribution Block, Power Supply, Ethernet cable, Network Switch.",Indonesia
27,MONASPERMATA PERSADAPerseroan Terbatas (PT)Email :hauwaylan18@gmail.com,Merek Barang :JEMBO CABLEStatus :Distributor,KABEL,Di wilayah seluruh Indonesia
28,PELITA SARANA AGRI SUKSESPersekutuan Komanditer (CV)Email :IPS.Psas88@gmail.com,Merek Barang :KOVINPLUS 80 PStatus :Distributor,HOUSEHOLD,PT PERKEBUNAN NUSANTARA (PTPN) GROUP
29,KHARISMA SINAR UTAMAPerseroan Terbatas (PT)Email :kharismasinarutamapt@yahoo.com,Merek Barang :--Status :Agen,"Pressure Vessel, Boiler, Piping, Re-tubbing, Structure dan mechanical work lainnya","Pertamina EP, PHE OSES, Pertamina Hulu Rokan"
30,PELITA SARANA AGRI SUKSESPersekutuan Komanditer (CV)Email :IPS.Psas88@gmail.com,"Merek Barang :AMONG TANI NPK 13-6-27+4MgO, AMONG TANI NPK 16-16-16, FERTA NPK 15-15-15, KRESNAPLUS NPK 13-6-27+4MgO+0.65B, KRESNAPLUSA NPK 15-15-6+4MgO,KRESNAPLUS NPK 12-12-17+2MgO+TEStatus :Distributor",PUPUK NPK,PT PERKEBUNAN NUSANTARA  (PTPN) GROUP
31,INDO PETRO JAYAPerseroan Terbatas (PT)Email :marketingindopetro@gmail.com,Merek Barang :BOMCOStatus :Distributor Tunggal,"Types of Mud Pump, Mud Pump Unit, and its accessories & Spare parts;",Indonesia
32,KHARISMA SINAR UTAMAPerseroan Terbatas (PT)Email :kharismasinarutamapt@yahoo.com,Merek Barang :--Status :Agen,"Pressure Vessel, Boiler, Piping, Re-tubbing, Structure dan mechanical work lainnya","Pertamina EP, PHE OSES, Pertamina Hulu Rokan"
33,FASASI KARYA MANDIRIPerseroan Terbatas (PT)Email :fasasi.km2023@gmail.com,Merek Barang :KAIQUANStatus :Distributor,"Pumps Models: Z(H)LB, Z(H)Q, KQSN, WQ, ACCESSORIES, SPARES PARTS, M&C",Indonesia
34,PELITA SARANA AGRI SUKSESPersekutuan Komanditer (CV)Email :IPS.Psas88@gmail.com,"Merek Barang :AMONG TANI NPK 13-6-27+4MgO, AMONG TANI NPK 16-16-16, FERTA NPK 15-15-15, KRESNAPLUS NPK 13-6-27+4MgO+0.65B, KRESNAPLUSA NPK 15-15-6+4MgO,KRESNAPLUS NPK 12-12-17+2MgO+TEStatus :Distributor",PUPUK NPK,PT PERKEBUNAN NUSANTARA  (PTPN) GROUP
35,BINTANG MULIA PERKASAPerseroan Terbatas (PT)Email :info@bintangmp.co.id,Merek Barang :HOLLYSYSStatus :Agen,"DCS Distributed Control System, general purpose control system for process industries HOLLIAS MAC, SIS  Safety Instrumented System, for critical control applications such as ESD, FGS, etc. LKS (SIL-2), HiaGuard (SIL-3),  DEH Digital-Electro-Hydraulic System, for turbine control T800K (for turbines above 12MW), T80 (for turbines of 12 MW and bellow), PLC Programmable Logic Controller LE (for small to mid-scale applications) LK (for large-scale applications) SCADA Supervisory Control and Data Acquisition, for graphical display and operation of PLC Holly View. Industrial Software  Various sftware products and solution for  Industrial applications, including communications, asset management, antivirus and batch control HOLLiAS iComm multi-protocol communication software. HOLLiAS Asset Management Software (HAMS). HOLLiAS 800K Antivirus Software. HOLLiAS Batch. Isolation Products Safety barrier, signal Isolator and surge Protection device. AM1000 series (safety barrier), AM2000 series (safety barrier), AMG 1000 series (signal isolator), AML 1000 series (SPD). Field Instruments Pressure transmitter with various parameters for different requirements AT4500 series. Product Category  : Controller, IO module, Baseplate, Terminal Base, Terminal Board, Power Distribution Block, Power Supply, Ethernet cable, Network Switch.",Indonesia
36,PELITA SARANA AGRI SUKSESPersekutuan Komanditer (CV)Email :IPS.Psas88@gmail.com,Merek Barang :KOVINPLUS 80 PStatus :Distributor,HOUSEHOLD,PT PERKEBUNAN NUSANTARA (PTPN) GROUP
37,CAHAYA TERANGPersekutuan Komanditer (CV)Email :cahayalin2@gmail.com,Merek Barang :JOTUNStatus :Agen,Cat Protective Coating,"Pertamina Hulu Rokan, Riau"
38,VAJRA PERKASA ABADIPerseroan Terbatas (PT)Email :vajraperkasaabadi@yahoo.co.id,Merek Barang :ROTORKStatus :Distributor Tunggal,"Design and Manufacture of Electric, Pneumatic and Hydraulic Actuator Accessories; Sales, Technical, Training and Service of Electric, Pneumatic and Hydraulic Actuators, including their Spare Parts","PT. Pertamina Patra Niaga Region Jawa Bagian Tengah, PT. Kilang Pertamina Internasional Refinery Unit IV Cilacap"
39,TRI MITRA ELEKTRIKPerseroan Terbatas (PT)Email :trimitraelektrik@gmail.com,Merek Barang :Schneider ElectricStatus :Distributor,Relay Proteksi MiCOM dan PowerLogic P range,"PLN Distribusi/PLN Wilayah di Wilayah/area: Aceh, Lampung, Kaltimra, Sulawesi, NTB, NTT, Maluku, dan Papua"
40,FOCUS INFOTAMAPerseroan Terbatas (PT)Email :info@pt-focus.com,Merek Barang :EPSONStatus :Distributor,"EPSON PROJECTOR: 1. Main Unit & Consumables:1080 Home, 10k<20klm, 20k<30klm, 2k<5klm, 30klm+, 4k Home, 4k<10klm-HBR, 5k<10klm-STD, Lenses, Lighting, OSPJ, ST, UltraST; VI Peripherals: Cable, Carrycase, Document Camera, LAN, Mount, Others, Pen, Screen; 2. Others: Brochure/Print Sample/Catalogues, Sticker, CD Driver, RIP, Sales Kit, Hard Disk, PAD (Styrofoam), Carton Box, Calendar, USB Dongle.",INDONESIA
41,PUTRANATA ADI MANDIRIPerseroan Terbatas (PT)Email :alfi.putranata@gmail.com,Merek Barang :KAM CONTROLSStatus :Agen,"Sampling  ● IAS Isokinetic Automatic Sampler: Pneumatic automatic sample grabber for crude oils, condensate, and reﬁned products.  ● E-IAS Electronic Isokinetic Automatic Sampler: Electrically driven automatic sample grabber for crude oils, condensate, and reﬁned products.   ● SR Sample Receiver: Portable container for composite samples: 3, 5, or 10 gallons   ● WS Weight Scale: Placed under SR to monitor composite sample volume.   ● SC Sampler Controller: For pacing sample rate and monitoring batch sampling   ● Complete Cabinet: Includes IAS/EIAS, receiver, controller, and scale.   Water Cut  ● LRW Low Range Watercut: Speciﬁcally designed for custody transfer and other low range applications. Water up to 10%.   ● OWD Oil Water Detector: Full cut, 0-100% water cut for production applications   ● ATD Automatic Tank Dewatering: Monitors water levels within tanks for dewatering, interface detection, etc.    ● KF Karl Fischer Moisture Analyzer: Rapidly and accurately determine the water content below 5% in crude oil samples      Mixing  ● SMS Static Mixing Spool: uses the energy of the ﬂow to mix oil and water to homogeneity for downstream sampling and/or water cut measurement  ● SMP Static Mixing Plate: uses the energy of the ﬂow to mix oil and water to homogeneity for downstream sampling and/or water cut measurement  ● ML Measurement Loop: Dynamic/power mixing for sampling and water cut measurement   Optical  ● OID Optical Interface Detector: Accurately identify individual products and product interface in multi-product pipelines   ● OOD Optical Oil Detector: Oil in water detection at the PPM level   ● CHA Colorimeter Haze Analyzer: Monitors color and turbidity of reﬁned products for quality control and pipeline interface",Indonesia
42,PITMAN NUSANTARAPerseroan Terbatas (PT)Email :sales@pitmannusantara.com,Merek Barang :STAR PETROTECHStatus :Agen Tunggal,DOWNHOLE COMPLETION AND SERVICE TOOLS FOR WELL INTERVENTION,PT PERTAMINA HULU ENERGI (PHE) Project in the Territory of the Republic of Indonesia - East Kalimantan
43,TRI MITRA ELEKTRIKPerseroan Terbatas (PT)Email :trimitraelektrik@gmail.com,Merek Barang :Schneider ElectricStatus :Distributor,"RTU T300, T500, dan RTU Saitel",PLN Distribusi di Seluruh Indonesia
44,TRI MITRA ELEKTRIKPerseroan Terbatas (PT)Email :trimitraelektrik@gmail.com,Merek Barang :Schneider ElectricStatus :Distributor,Relay Proteksi MiCOM dan PowerLogic P range,"PLN Distribusi/PLN Wilayah di Wilayah/area: Aceh, Lampung, Kaltimra, Sulawesi, NTB, NTT, Maluku, dan Papua"
45,CAHAYA TERANGPersekutuan Komanditer (CV)Email :cahayalin2@gmail.com,Merek Barang :JOTUNStatus :Agen,Cat Protective Coating,"Pertamina Hulu Rokan, Riau"
46,POWER PERDANA NUSANTARAPerseroan Terbatas (PT)Email :pperdana@powerperdana.com,Merek Barang :Balcke-DurrStatus :Agen,Steam Surface Condensers tor Geothermal Power Plants,Seluruh Indonesia
47,SEMBILAN CAHAYA LESTARIPerseroan Terbatas (PT)Email :sembilancahayalestarioss@gmail.com,"Merek Barang :A. BARANG 1= Aspro Bold (12), b. BARANG 2= Aspro Bold (20), c. BARANG 3= Aspro International (12), d. BARANG 4= Aspro International (16), 5. BARANG 5= Asprol Lite (16)Status :Distributor Tunggal","rokok Sigaret Kretek Mesin , Sigaret kretek tangan",dalam wilayah negara Republik Indonesia
48,DURAQUIPT CEMERLANGPerseroan Terbatas (PT)Email :endah@ptgpc.com,Merek Barang :SPX PlentyStatus :Agen,1. LIGHTNIN MIXERS   2. PLENTY MIXERS  3. ACCESORIES AND SPARE PARTS,"PERTAMINA KILANG, HULU DAN TERMINAL TANK UNTUK INONESIA"
49,INDO TRAKTOR UTAMAPerseroan Terbatas (PT)Email :legal-itr@indotraktor-utama.co.id,Merek Barang :SDLGStatus :Distributor Tunggal,"WHEEL LOADER, EXCAVATOR, MOTOR GRADER, COMPACTOR","Pulau Jawa, Sumatra dan Bali"
50,SENTRA CIPTA KREASINDOPerseroan Terbatas (PT)Email :sentraciptakreasindo@gmail.com,Merek Barang :HARTECHStatus :Distributor,HARTECH DIESEL Genset,Provinsi DKI Jakarta
51,PROSERVINDO PRATAMAPerseroan Terbatas (PT)Email :proservindo@cbn.net.id,Merek Barang :Van GasStatus :Distributor Tunggal,"Air And Gas Dryers, Desiccant, Coalescing And  Particulate Filters, Mist Eliminators (Vme) Series,  Automatic Drain Valves, Air-Cooled After Coolers  (Ac) Series, Accessories And Replacement Parts  Of Van Air System-Van Gas Technologies Product",Seluruh Indonesia
52,BINTANG MULIA PERKASAPerseroan Terbatas (PT)Email :info@bintangmp.co.id,Merek Barang :HOLISYSStatus :Agen,"DCS Distributed Control System, general purpose control system for process industries HOLLIAS MAC, SIS  Safety Instrumented System, for critical control applications such as ESD, FGS, etc. LKS (SIL-2), HiaGuard (SIL-3),  DEH Digital-Electro-Hydraulic System, for turbine control T800K (for turbines above 12MW), T80 (for turbines of 12 MW and bellow), PLC Programmable Logic Controller LE (for small to mid-scale applications) LK (for large-scale applications) SCADA Supervisory Control and Data Acquisition, for graphical display and operation of PLC Holly View. Industrial Software  Various sftware products and solution for  Industrial applications, including communications, asset management, antivirus and batch control HOLLiAS iComm multi-protocol communication software. HOLLiAS Asset Management Software (HAMS). HOLLiAS 800K Antivirus Software. HOLLiAS Batch. Isolation Products Safety barrier, signal Isolator and surge Protection device. AM1000 series (safety barrier), AM2000 series (safety barrier), AMG 1000 series (signal isolator), AML 1000 series (SPD). Field Instruments Pressure transmitter with various parameters for different requirements AT4500 series. Product Category  : Controller, IO module, Baseplate, Terminal Base, Terminal Board, Power Distribution Block, Power Supply, Ethernet cable, Network Switch.",Indonesia
53,PERTAMA DAYA NUSANTARAPerseroan Terbatas (PT)Email :pertamapower@gmail.com,Merek Barang :NORTROLLStatus :Agen,"LineTroll  type t110Emr – Fault Indicators for Overhead Lines ( FIOHL) , LineTroll type R110/ R130CQ Sleep Mode battery operated collector/ RTU for FIOHL, Linetroll RTU* real time RTU  with QL118/115 collector and  GIO or R200C modem RTU, Comtroll 118C collector for RTU, Comtroll 115C collector for RTU , Comtroll R200C collector/ RTU, Netttroll SCADA gateway, CableTroll 2330 Fault Passage Indicators ( FPI) for Cable system, CableTroll 2310 Earth Fault Indicator ( EFI) for cables system, CableTroll 210  Earth Fault Indicator ( EFI) for cables system, Linetroll 100C Sleep Mode battery operated collector / RTU for EFI and FPI",Indonesia
54,ASTRA GRAPHIAPerseroan Terbatas (PT)Email :info@astragraphia.co.id,Merek Barang :FujifilmStatus :Distributor Tunggal,"Product/Devices: 1) Copier/Duplicator Devices; 2) Image Output Devices; 3) High Speed Printing for Production & Transaction Printing Market both B/W and Color, including Software embedded in the Product",Seluruh Wilayah Republik Indonesia
55,SENTRA CIPTA KREASINDOPerseroan Terbatas (PT)Email :sentraciptakreasindo@gmail.com,Merek Barang :HARTECHStatus :Distributor,HARTECH DIESEL Genset,Provinsi DKI Jakarta
56,TRIKARYA ABADI PRIMAPerseroan Terbatas (PT)Email :trikarya@trikaryagroup.com,Merek Barang :EUROMACHStatus :Distributor Tunggal,EXCAVATORS,Indonesia
57,PRIMA ERA MITRAPerseroan Terbatas (PT)Email :info@ptpem.com,Merek Barang :PARKER HANNIFINStatus :Distributor,"FILTRATION ; AL, DF, DB, DV, DG, CP, CE.","Sumatera, Jawa, Bali, Nusa Tenggara, Kalimantan dan Sulawesi [Oil & Gas(Pertamina -sub Holding Upstream), Power Generation, Ex-Peramina EP (Pertamina Region Sumatera), Pertamina Region Jawa, Pertamina Region Kalimantan, Pertamina Hulu Rokan, Pertamina Geothermal, PGN, Indonesia Power, Pembangkit Jawa Bali, Independent Power Producer]"
58,MITRA SARANA GEOMATIKAPerseroan Terbatas (PT)Email :finance@ptmsg.co.id,Merek Barang :LeicaStatus :Distributor,Produk Geomatik (TPS dan GPS); Peralatan Solusi  Konstruksi; Peralatan Geospasial; dan Peralatan Lainnya,Indonesia
59,TURBO MECHINPerseroan Terbatas (PT)Email :sales@turbo-mech.co.id,"Merek Barang :BEGEMANN, GABBIONETA PUMPS, TERMOMECCANICA POMPEStatus :Distributor",Pumps,Indonesia (Oil and Gas)
60,INDO TRAKTOR UTAMAPerseroan Terbatas (PT)Email :legal-itr@indotraktor-utama.co.id,Merek Barang :SDLGStatus :Distributor Tunggal,"WHEEL LOADER, EXCAVATOR, MOTOR GRADER, COMPACTOR","Pulau Jawa, Sumatra dan Bali"
61,PROSERVINDO PRATAMAPerseroan Terbatas (PT)Email :proservindo@cbn.net.id,Merek Barang :Van GasStatus :Distributor Tunggal,"Air And Gas Dryers, Desiccant, Coalescing And  Particulate Filters, Mist Eliminators (Vme) Series,  Automatic Drain Valves, Air-Cooled After Coolers  (Ac) Series, Accessories And Replacement Parts  Of Van Air System-Van Gas Technologies Product",Seluruh Indonesia
62,GLOBAL MULTIMEDIA TEKNOLOGIPerseroan Terbatas (PT)Email :globalmultimediatek@gmail.com,Merek Barang :EPSONStatus :Distributor,"EPSON PROJECTOR: 1. Main Unit & Consumables:1080 Home, 10k<20klm, 20k<30klm, 2k<5klm, 30klm+, 4k Home, 4k<10klm-HBR, 5k<10klm-STD, Lenses, Lighting, OSPJ, ST, UltraST; VI Peripherals: Cable, Carrycase, Document Camera, LAN, Mount, Others, Pen, Screen; 2. Others: Brochure/Print Sample/Catalogues, Sticker, CD Driver, RIP, Sales Kit, Hard Disk, PAD (Styrofoam), Carton Box, Calendar, USB Dongle.",Indonesia
63,PELITA SARANA AGRI SUKSESPersekutuan Komanditer (CV)Email :IPS.Psas88@gmail.com,"Merek Barang :KRESLON 480 EC, METSUL 24 WP, VULGAR 865 SL, VIARON 500 SC, VIARON 80 WP, KRESNATOP 500 SC , BARCA 150 SLStatus :Distributor",Herbisida,PT PERKEBUNAN NUSANTARA  (PTPN) GROUP
64,LAB SISTEMATIKA INDONESIAPerseroan Terbatas (PT)Email :sales@labsystematic.com,Merek Barang :RIGAKUStatus :Distributor Tunggal,"PDX/XRD Products, WDX Products, TAZ Products, XIM Products",Seluruh WIlayah Indonesia
65,KITA HOKKIPerseroan Terbatas (PT)Email :usep.kitahokki@cbn.net.id,Merek Barang :DresserStatus :Distributor,"1. - C&I METERING : C&l Diaphragm Gas Meters G10/G100, Rotary Piston Meters DELTA, Turbine Meters FLUXI/TZ, Quantometers MZ And QD, Semua Aksesoris Dan Opsi Yang Tersedia. 2. - Gas Pressure Regulation : SERus, R133/R233, RR 16, RB1700, RB 2000, RB3200, RB 4000, RB 4600, RB 4700, SRV 801/803/811, Semua Aksesoris Dan Opsi Yang Tersedia. 3.Gas Volume Corrector : Corus EVO, Semua Aksesoris Dan Opsi Yang Tersedia. 4. - Spare Part. 5. - Software.",Indonesia
66,PELITA SARANA AGRI SUKSESPersekutuan Komanditer (CV)Email :IPS.Psas88@gmail.com,"Merek Barang :ISADORA 75 SP , MATARIN 50 EC, VIGOR 100 EC, ZORO 5 GR, BENTO 50 EC, TRESNA 25 EC, VENUS 400 SL, GEMAFUR 3 GR, KRESNADAN 3GR, TAMAFUR 3 GRStatus :Distributor",INSEKTISIDA,PT PERKEBUNAN NUSANTARA  (PTPN) GROUP
67,IMECO INTER SARANAPerseroan Terbatas (PT)Email :imeco@imeco.co.id,Merek Barang :SMITHStatus :Agen,"Services and Maintenance for DRILL BITS : PDC (Polycrystalline Diamond Compact) Bits, IMPREG (Impregnated) Bits, Milled Tooth, TCI (Tungsten Caribide Insert), Accessories : Nozzles, Bit Breakers, Ring Gages.",INDONESIA
68,USAHA JAYAMAS BHAKTIPerseroan Terbatas (PT)Email :usaha.bhakti@yahoo.com,"Merek Barang :""CONTINENTAL CONTITECH""Status :Distributor",Industrial Hoses,INDONESIA
69,TEKNIKA PERKASA GEMILANGPersekutuan Komanditer (CV)Email :teknikapg@gmail.com,Merek Barang :GANZHENStatus :Distributor,Pompa Air GANZHEN - WPG GZ-02; Pompa Air GANZHEN - WPG GZ-03; Mini Tiller  GANZHEN - GZ EKO-SPO 12T; Traktor Pertanian Roda Empat GANZHEN - Model GT 450,Di seluruh wilayah Republik Indonesia
70,PELITA SARANA AGRI SUKSESPersekutuan Komanditer (CV)Email :IPS.Psas88@gmail.com,Merek Barang :TOPREL 10 PAStatus :Distributor,ZPT,PT PERKEBUNAN NUSANTARA  (PTPN) GROUP
