No,Nama Perusahaan,Detail Perusahaan
62,NATURA PRIMA BEAUTYPerseroan Terbatas (PT),Website :WWW.NATURAWORLD.CO.IDEmail :naturaworld.official@gmail.com
63,KLADN SKIN BEAUTYPerseroan Terbatas (PT),Website :www.kladn.comEmail :ptkladn@gmail.com
64,OLA NETWORK ASIAPerseroan Terbatas (PT),Website :asc.jpn.comEmail :Olahrd2024@gmail.com
65,XAURA GLOBAL TRADINGPerseroan Terbatas (PT),Website :www.xauraglobal.comEmail :xauraglobaltrading@gmail.com
66,TRIDAYA SINERGI INDONESIAPerseroan Terbatas (PT),Website :www.tridayasinergi.comEmail :tridayasinergiindonesia@gmail.com
67,SUPERPLAN KARYA BERSAMAPerseroan Terbatas (PT),Website :www.superplan.idEmail :superplanofficial@gmail.com
68,HYDRO INNOVA GENERASI HEBATPerseroan Terbatas (PT),Website :www.dr-hydro.bizEmail :hydroinnovagenerasihebat@gmail.com
69,RALETSIA MAJU BERJAYAPerseroan Terbatas (PT),Website :www.raletsia.co.idEmail :ptraletsiamajub@gmail.com
70,REVELL MITRA ABADIPerseroan Terbatas (PT),Website :www.revellindo.comEmail :ptrevellmitraabadi@gmail.com
71,LABA JAYA INTERNASIONALPerseroan Terbatas (PT),Website :www.lancarbarokahjaya.comEmail :labajayainternasional@gmail.com
72,CAHAYA POHON ABADIPerseroan Terbatas (PT),Website :http://cahayapohonabadi.comEmail :pt.cahayapohonabadi@gmail.com
73,NASANUERA GLOBAL SYNERGYPerseroan Terbatas (PT),Website :-Email :nasanuera@gmail.com
74,NYRTEA BEAUTIKA NUSANTARAPerseroan Terbatas (PT),Website :www.nyrteanusantara.comEmail :nyrtea.nusantara@gmail.com
75,QN INTERNATIONAL INDONESIAPerseroan Terbatas (PT),Website :www.qnet-indonesia.co.idEmail :ganang.rindarko@qnet.net
76,BOKASHI TERAPI NATUROPATIPerseroan Terbatas (PT),Website :www.bokashitheraphy.comEmail :naturopatiterapi@gmail.com
77,VOLCANO INTERNATIONAL TECHNOLOGYPerseroan Terbatas (PT),Website :1001jewelrybox.comEmail :volcanotechnology42@gmail.com
78,GEO MULIA PERKASA SEJAHTERAPerseroan Terbatas (PT),Website :www.gmpsejahtera.co.idEmail :Gmpsejahtera@gmail.com
79,ELYSYLE COSMO INDONESIAPerseroan Terbatas (PT),Website :www.elysyle.co.idEmail :legal@elysyle.co.id
80,SUNRIDER NUSAPERDANA ABADIPerseroan Terbatas (PT),Website :www.sunrider.co.idEmail :pt.sunrider.abadi@gmail.com
81,GEO MULIA PERKASA SEJAHTERAPerseroan Terbatas (PT),Website :www.gmpsejahtera.co.idEmail :Gmpsejahtera@gmail.com
82,KOMPAK INDONESIA SUKSESPerseroan Terbatas (PT),Website :-Email :kompakindonesiasukses@gmail.com
83,NETWORK INDONESIA SATUPerseroan Terbatas (PT),Website :https://networksatu.id/Email :office@networksatu.id
84,ELYSYLE COSMO INDONESIAPerseroan Terbatas (PT),Website :www.elysyle.co.idEmail :legal@elysyle.co.id
85,LINTAS ARTHA KREATIF USAHAPerseroan Terbatas (PT),Website :www.lakuindonesia.comEmail :lkreatifusaha@gmail.com
86,AIDA DAHAYU PERKASAPerseroan Terbatas (PT),Website :www.7diamonds.idEmail :dahayuaidaniaga@gmail.com
87,KLADN SKIN BEAUTYPerseroan Terbatas (PT),Website :www.kladn.comEmail :ptkladn@gmail.com
88,SELLERPRO SUKSES ABADIPerseroan Terbatas (PT),Website :www.sellerpro.idEmail :sellerprosukses@gmail.com
89,ACCELERATING BUSINESS EMINENCEPerseroan Terbatas (PT),Website :Abe-global.comEmail :marketing@abe.id
90,EBANI KARIB SETIAPerseroan Terbatas (PT),Website :www.eonnipro.idEmail :ebanikaribsetia@gmail.com
91,PASTI SUKSES SEMUAPerseroan Terbatas (PT),Website :www.pastisukses.co.idEmail :ratushopping168@gmail.com
92,BERKAH AMANAH SELALUPerseroan Terbatas (PT),Website :berkahamanah.idEmail :ptberkahamanahselalu@gmail.com
93,ESA COSME INTERNASIONALPerseroan Terbatas (PT),Website :www.cuanse.co.idEmail :esadirekcuanse@gmail.com
94,GEO MULIA PERKASA SEJAHTERAPerseroan Terbatas (PT),Website :www.gmpsejahtera.co.idEmail :Gmpsejahtera@gmail.com
95,DWI LEGASI NUSANTARAPerseroan Terbatas (PT),Website :https://cms-dev.smartdnm.com/auth/loginEmail :indonesiaakademiinspiradzi@gmail.com
96,GOLDEN MILENIUM CEMERLANGPerseroan Terbatas (PT),Website :Goldenmilenium.comEmail :ptgoldenmileniumcemerlang@gmail.com
97,DENDIS BERKAH MULIAPerseroan Terbatas (PT),Website :-Email :pt.dendisberkahmulia@gmail.com
98,SOLUSI GLOBAL GROUPPerseroan Terbatas (PT),Website :http://nic.co.id/Email :solusiglobalgrup@gmail.com
99,JMOA INDONESIA INTERNASIONALPerseroan Terbatas (PT),Website :www.bzzworld.idEmail :pmljmoa@gmail.com
100,I LINK AGE INTERNATIONAL INDONESIAPerseroan Terbatas (PT),Website :www.nutric.comEmail :info.id@nutric.com
101,I LINK AGE INTERNATIONAL INDONESIAPerseroan Terbatas (PT),Website :www.nutric.comEmail :info.id@nutric.com
102,ELYSYLE COSMO INDONESIAPerseroan Terbatas (PT),Website :www.elysyle.co.idEmail :legal@elysyle.co.id
103,BERKAH INFINITY GEMILANGPerseroan Terbatas (PT),Website :berkahinfinity.comEmail :network.big.official@gmail.com
104,DAMAI EKA PRATAMA INDONESIAPerseroan Terbatas (PT),Website :www.damaiekapratamaindonesia.comEmail :fatdept.depindo@gmail.com
105,SAINS NATURA BIOTECHPerseroan Terbatas (PT),Website :www.sainsbiotech.comEmail :sainsnaturabiotech@gmail.com
106,USANA HEALTH SCIENCES INDONESIAPerseroan Terbatas (PT),Website :www.usana.comEmail :tiffani.victoria@usanainc.com
107,GRIYO MORO INDONESIAPerseroan Terbatas (PT),Website :www.klikgmind.comEmail :griyomoroindonesia@gmail.com
108,HARMONI DINAMIK INDONESIAPerseroan Terbatas (PT),Website :https://www.hdistore.com/Email :corporate@hdinetwork.com
109,BEI INTERNATIONAL MARKETINGPerseroan Terbatas (PT),Website :-Email :ptbeiinternational@beintl.com
110,ELYSYLE COSMO INDONESIAPerseroan Terbatas (PT),Website :www.elysyle.co.idEmail :legal@elysyle.co.id
111,SUNRIDER NUSAPERDANAPerseroan Terbatas (PT),Website :www.sunrider.co.idEmail :business.service@sunrider.co.id
112,HARAPAN GEMILANG INDONESIAPerseroan Terbatas (PT),Website :www.happygrowth.idEmail :ptharapangemilangindonesia@gmail.com
113,TUJUH DANA LANGITPerseroan Terbatas (PT),Website :sevenpro.idEmail :tujuhdanalangit@gmail.com
114,HARMONI DINAMIK INDONESIAPerseroan Terbatas (PT),Website :https://www.hdistore.com/Email :corporate@hdinetwork.com
115,NEW IMAGE INTERNATIONAL INDONESIAPerseroan Terbatas (PT),Website :-Email :ptnewimage.ii@gmail.com
116,FITLINE NUTRITION AND COSMETICSPerseroan Terbatas (PT),Website :www.fitline.com & www.pm-international.comEmail :office-fitline@pm-international.co.id
117,DUTA DANA KOSMETIKPerseroan Terbatas (PT),Website :nabbclinic.co.idEmail :ptdutadanakosmetik.2024@gmail.com
118,III INTERNATIONAL WELLNESS NETWORKPerseroan Terbatas (PT),Website :threeinternational.com/idEmail :iii.interwellnessnetwork@gmail.com
119,PASTI SUKSES SEMUAPerseroan Terbatas (PT),Website :www.pastisukses.co.idEmail :ratushopping168@gmail.com
120,BEI INTERNATIONAL MARKETINGPerseroan Terbatas (PT),Website :-Email :ptbeiinternational@beintl.com
121,COWAY INTERNATIONAL INDONESIAPerseroan Terbatas (PT),Website :www.coway.idEmail :indonesiacoway@hotmail.com
122,PRESTIGE INDONESIA SUKSESPerseroan Terbatas (PT),Website :www.m-prestige.comEmail :prestigeindonesiasukses@gmail.com
123,NUSA SELARAS INDONESIAPerseroan Terbatas (PT),Website :https://www.nuskin.com/content/nuskin/in_ID/home.htmlEmail :kkisizenia@nuskin.com
124,MARKET AMERICA INDONESIAPerseroan Terbatas (PT),Website :unfranchise.comEmail :valerias@marketamerica.com
125,LIFEPHARM GLOBAL INDONESIAPerseroan Terbatas (PT),Website :www.lifepharm.comEmail :lifepharmglobalidn@gmail.com
126,FITLINE NUTRITION AND COSMETICSPerseroan Terbatas (PT),Website :-Email :office-fitline@pm-international.co.id
127,BERSAMA LEBIH SEMANGAT SEJAHTERAPerseroan Terbatas (PT),Website :www.squad.co.idEmail :squadbless.id@gmail.com
128,FOURMI ASHA SEJAHTERAPerseroan Terbatas (PT),Website :fourmi.idEmail :fourmiashasejahtera@gmail.com
129,UNIVERSAL HEALTH NETWORKPerseroan Terbatas (PT),Website :https://www.sohoglobalhealth.comEmail :debby.alfi@sohoglobalhealth.com
130,MAHKOTA SUKSES INDONESIAPerseroan Terbatas (PT),Website :www.mymsi.co.idEmail :mahkotaindonesia.official@gmail.com
131,MAHKOTA SUKSES INDONESIAPerseroan Terbatas (PT),Website :www.mymsi.co.idEmail :mahkotaindonesia.official@gmail.com
132,ORINDO ALAM AYUPerseroan Terbatas (PT),Website :id.oriflame.comEmail :Indonesia.Regulatory@oriflame.com
133,BERLIAN SEJATI INDONESIAPerseroan Terbatas (PT),Website :htpps://berliansukses.comEmail :bsi.berlian3@gmail.com
134,FANTASTIC FOUR INTERNATIONALPerseroan Terbatas (PT),Website :www.funfoyu.idEmail :fantastic4int@gmail.com
135,PANEN INTI NUSANTARAPerseroan Terbatas (PT),Website :https://pintaracorp.co.idEmail :pintaracorp@gmail.com
136,WINET PROFISINDO INTERNASIONALPerseroan Terbatas (PT),Website :www.winetpro.comEmail :oss.winetprofisindo@gmail.com
137,DOTERRA INDONESIA MARKETINGPerseroan Terbatas (PT),Website :https://www.doterra.com/ID/id_IDEmail :indonesia@doterra.com
138,MYMOZZA BILLIONAIRE INTERNATIONALPerseroan Terbatas (PT),Website :www.mymozza-int.comEmail :mymozzabillionaireinternationa@gmail.com
139,JALUR OPTIMIS SUKSESPerseroan Terbatas (PT),Website :www.jos-official.comEmail :Josjosjos2x@gmail.com
140,MILAGROS INDONESIA MEGAHPerseroan Terbatas (PT),Website :www.milagros.co.idEmail :legal@milagros.co.id
141,SINGA LANGIT JAYAPerseroan Terbatas (PT),Website :http://www.tiens.co.id/Email :singa_langit@yahoo.com
142,JMOA INDONESIA INTERNASIONALPerseroan Terbatas (PT),Website :www.bzzworld.idEmail :pmljmoa@gmail.com
143,KKI NUSANTARA GEMILANGPerseroan Terbatas (PT),Website :www.kkigroup.co.idEmail :kkinusantaragemilang@gmail.com
144,PASTI SUKSES SEMUAPerseroan Terbatas (PT),Website :www.pastisukses.co.idEmail :ratushopping168@gmail.com
145,GRYA SMART MANDIRIPerseroan Terbatas (PT),Website :www.gryasmartmandiri.comEmail :pt.gryasmartmandiri@yahoo.com
146,SINAR SUKSES IMPIANPerseroan Terbatas (PT),Website :www.551.co.idEmail :ssisinarsukses@gmail.com
147,LEAFHEA INTERNATIONAL NETWORKPerseroan Terbatas (PT),Website :www.leafhea.comEmail :Leafheaofficial@gmail.com
148,FITLINE NUTRITION AND COSMETICSPerseroan Terbatas (PT),Website :-Email :office-fitline@pm-international.co.id
149,JUARA KASIH SAYANGPerseroan Terbatas (PT),Website :www.juarakasihsayang.co.idEmail :ptjuarakasihsayang@gmail.com
150,NEUMINDO MAKMUR BERSAMAPerseroan Terbatas (PT),Website :office.neumi.comEmail :neumindomakmurbersama@gmail.com
151,NEUMINDO MAKMUR BERSAMAPerseroan Terbatas (PT),Website :office.neumi.comEmail :neumindomakmurbersama@gmail.com
152,THRIVE INTER NATIONALPerseroan Terbatas (PT),Website :https://3ve.online/Email :ptthriveinternational@gmail.com
153,QN INTERNATIONAL INDONESIAPerseroan Terbatas (PT),Website :www.qnet-indonesia.co.idEmail :ganang.rindarko@qnet.net
154,HERBALIFE INDONESIAPerseroan Terbatas (PT),Website :-Email :externalaffairsID@herbalife.com
155,NASANUERA GLOBAL SYNERGYPerseroan Terbatas (PT),Website :-Email :nasanuera@gmail.com
156,BERKAH AMANAH SELALUPerseroan Terbatas (PT),Website :berkahamanah.idEmail :ptberkahamanahselalu@gmail.com
157,AWM STAR LIFEPerseroan Terbatas (PT),Website :www.awmstarlife-official.co.idEmail :motivasireaksi@gmail.com
158,NATURAL NUSANTARAPerseroan Terbatas (PT),Website :-Email :service@naturalnusantara.co.id
159,MILIARDER SUKSES BERSAMAPerseroan Terbatas (PT),Website :www.trueme.co.idEmail :miliandersuksesbersama@gmail.com
160,BANGUN INSAN SUKSES AMANAHPerseroan Terbatas (PT),Website :bisakita.co.idEmail :mnitop@yahoo.com
161,DADILA MUDA KREASIPerseroan Terbatas (PT),Website :www.shannen.idEmail :PT.DADILAMUDAKREASI@GMAIL.COM
162,EMAS KARYA ABADIPerseroan Terbatas (PT),Website :momapan.idEmail :masduit@masduit.com
163,HARMONI DINAMIK INDONESIAPerseroan Terbatas (PT),Website :https://www.hdistore.com/Email :corporate@hdinetwork.com
164,SINAR SUKSES IMPIANPerseroan Terbatas (PT),Website :www.551.co.idEmail :ssisinarsukses@gmail.com
165,ISLAN PELITA NUSANTARAPerseroan Terbatas (PT),Website :www.ipnetwork.idEmail :islanpelitanusantarapt@gmail.com
166,BERLIAN HIJAU NUSANTARAPerseroan Terbatas (PT),Website :www.greendiamondnetwork.comEmail :ptberlianhijaunusantara@gmail.com
167,NIUANCONG HEALTH MANAGEMENTPerseroan Terbatas (PT),Website :www.niuancong.comEmail :niuancong@gmail.com
168,ARMINAREKA PHARMASIA PRATAMAPerseroan Terbatas (PT),Website :www.arminadaily.idEmail :info@arminadaily.id
169,UGREAT INTERNATIONAL MAJUPerseroan Terbatas (PT),Website :www.ugreatinternational.comEmail :hi@ugreatinternational.com
170,MARKET AMERICA INDONESIAPerseroan Terbatas (PT),Website :unfranchise.comEmail :valerias@marketamerica.com
171,BYBELLAZ INSAN MAKMUR AMANAHPerseroan Terbatas (PT),Website :www.thewinner.idEmail :bybellazbeauty@gmail.com
172,BERNIAGA SINERGI NUSANTARAPerseroan Terbatas (PT),Website :www.berkahsinergi.comEmail :ptberniagasinerginusantara@gmail.com
173,HASMART GLOBAL INDONESIAPerseroan Terbatas (PT),Website :hasmart2u.comEmail :hasmartglobalindoonesia@gmail.com
174,ANINA SUKSES BERSINERGIPerseroan Terbatas (PT),Website :www.anina.co.idEmail :ptaninasuksesbersinergi@gmail.com
175,SANDI MAJU MAPAN GROUPPerseroan Terbatas (PT),Website :www.fansbeauty.co.idEmail :ptsandisuksesbersama@gmail.com
176,WINDSHINE COSME INTERNASIONALPerseroan Terbatas (PT),Website :www.windshine.co.idEmail :windshine99@gmail.com
177,DIGITAL BUSINESSCARD INTERNATIONALPerseroan Terbatas (PT),Website :www.dbc.networkEmail :marvin.matheus.susanto20@gmail.com
178,SAINS NATURA BIOTECHPerseroan Terbatas (PT),Website :www.sainsbiotech.comEmail :sainsnaturabiotech@gmail.com
179,DYNASTY NUSANTARA SUKSESPerseroan Terbatas (PT),Website :www.klikdns.idEmail :dnsnetwork2024@gmail.com
180,HARMONI DINAMIK INDONESIAPerseroan Terbatas (PT),Website :https://www.hdistore.com/Email :corporate@hdinetwork.com
181,WIKINARA BENING BERSAMA PUTRAPerseroan Terbatas (PT),Website :www.wikinara.co.idEmail :info@wikinara.id
182,MJOPTIM MEGA ABADIPerseroan Terbatas (PT),Website :https://mjoptim.id/Email :mjoptimmegahabadi@gmail.com
183,NUSA SELARAS INDONESIAPerseroan Terbatas (PT),Website :https://www.nuskin.com/content/nuskin/in_ID/home.htmlEmail :kkisizenia@nuskin.com
184,BERKAH AMANAH SELALUPerseroan Terbatas (PT),Website :berkahamanah.idEmail :ptberkahamanahselalu@gmail.com
185,JUARA KASIH SAYANGPerseroan Terbatas (PT),Website :www.juarakasihsayang.co.idEmail :ptjuarakasihsayang@gmail.com
186,QUIARI TEKNOLOGI INDONESIAPerseroan Terbatas (PT),Website :quiari.com/id/Email :riosoedarno@gmail.com
187,ATOMY INDONESIA GROUPPerseroan Terbatas (PT),Website :https://www.atomy.com/idEmail :atomy_id@atomypark.com
188,ELYSYLE COSMO INDONESIAPerseroan Terbatas (PT),Website :www.elysyle.co.idEmail :legal@elysyle.co.id
189,HOWELL COSME INDONESIAPerseroan Terbatas (PT),Website :www.howellcosme.comEmail :howellcosmeindonesia@gmail.com
190,ARNET SUKSES MANDIRIPerseroan Terbatas (PT),Website :www.netlife.idEmail :arnetnetlife@gmail.com
191,FOHOW GLOBAL INDONESIAPerseroan Terbatas (PT),Website :www.fohow.comEmail :fohowindonesiaofficial@gmail.com
192,CAHAYA GERBANG MUTIARAPerseroan Terbatas (PT),Website :cahayagerbangmutiara.comEmail :cahayagerbang.mutiara@gmail.com
193,CAHAYA PRESTASI INDONESIAPerseroan Terbatas (PT),Website :www.tupperware.co.idEmail :FransLukito@tupperware.com
194,BEI INTERNATIONAL MARKETINGPerseroan Terbatas (PT),Website :-Email :ptbeiinternational@beintl.com
195,TOKO KESEHATAN KECANTIKAN INDONESIAPerseroan Terbatas (PT),Website :www.khavyar.idEmail :tokokesehatankecantikanindones@gmail.com
196,MIRACLE ORGANO INTERNATIONALPerseroan Terbatas (PT),Website :www.miracleorgano.co.idEmail :Miracleorganointernational@gmail.com
197,BIO INDONESIA BAROKAH SEJAHTERAPerseroan Terbatas (PT),Website :www.bibs2u.comEmail :bibsejahtera@gmail.com
198,DYNAMIC ACE GLOBAL INDONESIAPerseroan Terbatas (PT),Website :-Email :dynamicaceglobalindonesia135@gmail.com
199,LEAFHEA INTERNATIONAL NETWORKPerseroan Terbatas (PT),Website :www.leafhea.comEmail :Leafheaofficial@gmail.com
200,INDO SEJAHTERA JAYAPerseroan Terbatas (PT),Website :https://www.merci2u.id/Email :indosejahterajaya.isj@gmail.com
201,INDO SEJAHTERA JAYAPerseroan Terbatas (PT),Website :https://www.merci2u.id/Email :indosejahterajaya.isj@gmail.com
202,AMANAH SUKSES BERKAH SEJAHTERAPerseroan Terbatas (PT),Website :www.suksesberkah.comEmail :amanahsuksesberkahsejahtera@gmail.com
203,VANESH MEGASUKSES INDOTAMAPerseroan Terbatas (PT),Website :www.neonella.idEmail :Vaneshmegasuksesindotama@gmail.com
204,ALAMO GREENLIFE INTERNATIONALPerseroan Terbatas (PT),Website :myalamo.co.idEmail :admin@myalamo.co.id
205,BIOTA INDONESIA SEJAHTERAPerseroan Terbatas (PT),Website :www.biotagroup.idEmail :biotaindonesiasejahtera@gmail.com
206,ORIENTAL INCHAWAY INTERNATIONALPerseroan Terbatas (PT),Website :www.inchaway.idEmail :orientalinchawayinternational@gmail.com
207,COWAY INTERNATIONAL INDONESIAPerseroan Terbatas (PT),Website :www.coway.idEmail :indonesiacoway@hotmail.com
208,SUNTHREE MAKMUR INDONESIAPerseroan Terbatas (PT),Website :sunthree.idEmail :sunthreemakmurindonesia2@gmail.com
209,ARNET SUKSES MANDIRIPerseroan Terbatas (PT),Website :www.netlife.idEmail :arnetnetlife@gmail.com
210,REA STAR INTERNATIONALPerseroan Terbatas (PT),Website :www.reastar-int.comEmail :pt.reastarinternational@gmail.com
211,MLWAY GEMILANG SEJAHTERAPerseroan Terbatas (PT),Website :https://mlway.onlineEmail :ptmlwaygemilangsejahtera@gmail.com
212,NATURA PRIMA BEAUTYPerseroan Terbatas (PT),Website :WWW.NATURAWORLD.CO.IDEmail :naturaworld.official@gmail.com
213,BEI INTERNATIONAL MARKETINGPerseroan Terbatas (PT),Website :-Email :ptbeiinternational@beintl.com
214,HERBA PENAWAR ALWAHIDA INDONESIAPerseroan Terbatas (PT),Website :www.hni.netEmail :crm@hni.net
215,AMANAH SUKSES BAHAGIAPerseroan Terbatas (PT),Website :www.sahabatasb.comEmail :sahabatbsm@gmail.com
216,LUXE GLOBAL NETWORKPerseroan Terbatas (PT),Website :www.luxelife.idEmail :luxeglobalnetwork@gmail.com
